REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別
365,0,219,638,0,0,0,0,0,0,0
167,0,173,506,0,0,0,0,0,0,0
778,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0
442,0,79,238,0,0,0,0,0,0,0
361,0,184,533,0,0,0,0,0,0,0
138,0,143,409,0,0,0,0,0,0,0
234,0,0,0,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0,0
399,0,139,401,0,0,0,0,0,0,0
126,0,80,236,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0
132,0,127,363,0,0,0,0,0,0,0
296,0,65,184,0,0,0,0,0,0,0
99,0,81,232,0,0,0,0,0,0,0
95,0,355,1032,0,0,0,0,0,0,0
89,0,76,220,0,0,0,0,0,0,0
440,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0
590,0,1298,3728,0,0,0,0,0,0,0
50,0,166,482,0,0,0,0,0,0,0
778,0,0,0,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0,0,0,0
333,0,125,369,0,0,0,0,0,0,0
394,0,0,0,0,0,0,0,0,0,0
71,0,146,423,0,0,0,0,0,0,0
320,0,0,0,0,0,0,0,0,0,0
98,0,115,334,0,0,0,0,0,0,0
220,0,154,440,0,0,0,0,0,0,0
778,0,51,148,0,0,0,0,0,0,0
138,0,126,363,0,0,0,0,0,0,0
315,0,108,309,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0
106,0,361,1044,0,0,0,0,0,0,0
95,0,61,179,0,0,0,0,0,0,0
136,0,118,345,0,0,0,0,0,0,0
161,0,86,247,0,0,0,0,0,0,0
778,0,86,253,0,0,0,0,0,0,0
167,0,0,0,0,0,0,0,0,0,0
440,0,76,219,0,0,0,0,0,0,0
445,0,0,0,0,0,0,0,0,0,0
135,0,106,307,0,0,0,0,0,0,0
759,0,0,0,0,0,0,0,0,0,0
525,0,101,302,0,0,0,0,0,0,0
778,0,67,192,0,0,0,0,0,0,0
779,0,0,0,0,0,0,0,0,0,0
207,0,0,0,0,0,0,0,0,0,0
42,0,56,163,0,0,0,0,0,0,0
84,0,1799,5149,0,0,0,0,0,0,0
752,0,0,0,0,0,0,0,0,0,0
295,0,86,252,0,0,0,0,0,0,0
181,0,0,0,0,0,0,0,0,0,0
572,0,73,218,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,0,0
572,0,53,154,0,0,0,0,0,0,0
194,0,0,0,0,0,0,0,0,0,0
168,0,0,0,0,0,0,0,0,0,0
92,0,74,210,0,0,0,0,0,0,0
444,0,136,392,0,0,0,0,0,0,0
284,0,172,501,0,0,0,0,0,0,0
442,0,80,240,0,0,0,0,0,0,0
95,0,19,52,0,0,0,0,0,0,0
121,0,145,413,0,0,0,0,0,0,0
107,0,148,430,0,0,0,0,0,0,0
65,0,16,42,0,0,0,0,0,0,0
752,0,147,430,0,0,0,0,0,0,0
303,0,250,728,0,0,0,0,0,0,0
725,0,89,266,0,0,0,0,0,0,0
430,0,0,0,0,0,0,0,0,0,0
280,0,0,0,0,0,0,0,0,0,0
44,0,81,243,0,0,0,0,0,0,0
91,0,20,56,0,0,0,0,0,0,0
467,0,0,0,0,0,0,0,0,0,0
286,0,76,229,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0
240,0,63,178,0,0,0,0,0,0,0
93,0,195,571,0,0,0,0,0,0,0
195,0,0,0,0,0,0,0,0,0,0
224,0,113,329,0,0,0,0,0,0,0
434,0,0,0,0,0,0,0,0,0,0
261,0,0,0,0,0,0,0,0,0,0
62,0,44,127,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0,0
251,0,0,0,0,0,0,0,0,0,0
262,0,158,462,0,0,0,0,0,0,0
